input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-10-29 03:00:00+00:00,465.0,25.0,18.6,85.26,1
2021-10-30 03:00:00+00:00,413.0,24.0,17.21,77.6,1
2021-10-31 04:00:00+00:00,411.0,24.6,16.71,64.04,1
2021-11-01 04:00:00+00:00,42.0,4.2,10.0,13.11,1
2021-11-02 04:00:00+00:00,52.0,4.2,12.38,13.17,1
2021-11-03 04:00:00+00:00,8.0,0.5,16.0,8.87,1
2021-11-04 04:00:00+00:00,20.0,2.3,8.7,12.17,1
2021-11-05 04:00:00+00:00,0.0,0.0,,1.18,1
2021-11-06 04:00:00+00:00,0.0,0.0,,0.0,1
2021-11-07 04:00:00+00:00,0.0,0.0,,0.0,1
2021-11-08 04:00:00+00:00,0.0,0.0,,3.29,1
2021-11-09 04:00:00+00:00,10.0,0.0,,5.22,1
2021-11-10 04:00:00+00:00,0.0,0.0,,5.16,1
2021-11-11 04:00:00+00:00,0.0,0.0,,5.02,1
2021-11-12 04:00:00+00:00,0.0,0.0,,5.2,1
2021-11-13 04:00:00+00:00,0.0,0.0,,5.4,1
2021-11-14 04:00:00+00:00,0.0,0.0,,5.09,1
2021-11-15 04:00:00+00:00,0.0,0.0,,4.67,1
2021-11-16 04:00:00+00:00,0.0,0.0,,4.69,1
2021-11-17 04:00:00+00:00,0.0,0.0,,4.7,1
2021-11-18 04:00:00+00:00,0.0,0.0,,4.84,1
2021-11-19 04:00:00+00:00,0.0,0.0,,4.81,1
2021-11-20 04:00:00+00:00,0.0,0.0,,4.77,1
2021-11-21 04:00:00+00:00,0.0,0.0,,4.75,1
2021-11-22 04:00:00+00:00,0.0,0.0,,3.22,1
2021-11-23 04:00:00+00:00,0.0,0.0,,3.71,1
2021-11-24 04:00:00+00:00,0.0,0.0,,6.44,1
2021-11-25 04:00:00+00:00,7.0,0.6,11.67,6.35,1
2021-11-26 04:00:00+00:00,136.0,9.9,13.74,19.96,1
2021-11-27 04:00:00+00:00,83.0,7.0,11.86,12.65,1
2021-11-28 04:00:00+00:00,272.0,18.7,14.55,53.09,1
2021-11-29 04:00:00+00:00,312.0,22.5,13.87,40.35,1
2021-11-30 04:00:00+00:00,0.0,0.0,,8.43,1
2021-12-01 04:00:00+00:00,26.0,2.6,10.0,13.1,1
2021-12-02 04:00:00+00:00,53.0,4.3,12.33,14.48,1
2021-12-03 04:00:00+00:00,235.0,18.3,12.84,31.03,1
2021-12-04 04:00:00+00:00,52.0,5.6,9.29,16.55,1
2021-12-05 04:00:00+00:00,33.0,2.4,13.75,14.46,1
2021-12-06 04:00:00+00:00,393.0,24.0,16.38,78.65,1
2021-12-07 04:00:00+00:00,376.0,24.0,15.67,61.43,1
2021-12-08 04:00:00+00:00,373.0,24.0,15.54,56.42,1
2021-12-09 04:00:00+00:00,350.0,24.0,14.58,51.74,1
2021-12-10 04:00:00+00:00,139.0,10.9,12.75,27.35,1
2021-12-11 04:00:00+00:00,1.0,0.0,,10.14,1
